cuisine,name,num_reviews,price,stars
"Indian, Vegetarian",Sagar West End,1,30.0,3
Spanish,Bar Jaleo,0,30.0,5
"Dim Sum, Taiwanese",Din Tai Fung Covent Garden,2,39.5,5
International,StreetXO,8,64.5,4
French,Le Restaurant de Paul,0,39.5,5
,Camellia's Tea House,0,N\A,5
Moroccan,Souk Bazaar,1,N\A,3.5
Burgers,Honest Burgers Oxford Circus,0,30.0,5
,Café in the Crypt,0,N\A,5
"Brazilian, Japanese",Yoobi Soho,1,30.0,4.5
Steak,The Kenley,0,39.5,5
Bars,Bar Salsa Temple,2,N\A,2.5
British,The Connaught Grill at The Connaught,0,80.0,5
Italian,Isolabella,2,N\A,4
Chinese,Greenleaf,0,39.5,5
"Afternoon tea, Modern European",Cafe Monico,3,39.5,3
Bars,Upstairs at Rules,0,64.5,5
Bars,The Wave Bar & Club Chinois,0,N\A,5
,Kaffeine,0,30.0,5
"Bars, Hotel Bars",Rockwell at The Trafalgar St. James hotel ,0,39.5,5
Japanese,Koto Japanese Restaurant,0,N\A,5
Italian,Zizzi - West End St. Giles,2,N\A,5
"Afternoon tea, Modern European",Mirror Room at Rosewood London ,1,N\A,5
Indian,Gymkhana,31,64.5,5
French,Palm Court Brasserie,5,39.5,4
"Afternoon tea, Bars",The Polo Bar at The Westbury Hotel,1,39.5,4.5
Bars,68 and Boston,0,N\A,5
French,Cigalon,9,39.5,3.5
"Bars, International",Joe’s Bar ,0,30.0,5
Italian,Bella Italia - Cranbourn Street,0,30.0,5
International,Le Pain Quotidien,0,30.0,5
Thai,Thai Golden Palace,0,N\A,5
Swiss,St Moritz,4,39.5,3
Steak,Flat Iron Beak Street,3,39.5,4.5
Bars,Bar Termini Soho,2,N\A,3.5
International,EllaMia at St Martins Lane London,0,30.0,5
Bars,"The Slug and Lettuce, Fetter Lane",0,N\A,5
"Bars, Japanese",Machiya,0,39.5,5
Thai,Sawadika Fine Thai Restaurant,1,N\A,1
British,Farmstand,0,30.0,5
Indian,Shapur Indian Restaurant,0,30.0,5
Modern European,Drunch,3,39.5,5
"Afternoon tea, French",Ladurée Covent Garden,0,39.5,5
British,Charlie’s at Brown’s,0,64.5,5
"Afternoon tea, Modern European",Kona at St James's Court Hotel,0,39.5,5
"Bars, South American",Gaucho Piccadilly Bar and Roof Terrace,1,N\A,5
Japanese,Flesh & Buns Covent Garden,12,39.5,3.5
"Italian, Pizza",Pizza Express 85 Victoria Street,0,39.5,5
International,Leon Regent Street,0,39.5,5
,Bill's Restaurant Holborn ,1,N\A,2
Thai,Patara Oxford Circus,2,39.5,4
Bars,"The Slug and Lettuce, Artillery Row",0,N\A,5
"Brazilian, South American",Cabana Covent Garden,6,39.5,3
Mexican,El Camion,1,39.5,2.5
Greek,The Elysée ,20,39.5,5
Italian,21 Covent Garden,5,30.0,4
French,Ferdi,2,39.5,1.5
"International, Middle Eastern",The Palomar,23,39.5,5
"Middle Eastern, Persian",Berenjak,1,39.5,4
Bars,The Angel - St Giles High Street,0,N\A,5
Italian,Limoncello Ristorante Pizzeria,0,39.5,5
Chinese,P.F. Chang's Asian Table,3,39.5,1.5
Mexican,DF Tacos Tottenham Court Road,1,39.5,3.5
International,Great Court Restaurant,1,39.5,2
Indian,Maharaja of India,0,N\A,5
French,Café de Paris,1,39.5,3.5
International,Stephen St Kitchen,0,39.5,5
Modern European,Coopers,2,39.5,5
International,Mask Bar,0,N\A,5
Chinese,Leong's Legends,1,39.5,3.5
British,Scoff & Banter Bloomsbury,0,39.5,5
Afternoon tea,Afternoon Tea at Caffe Concerto Shaftsbury Avenue,0,N\A,5
Indian,Rasa Samudra,2,39.5,3
French,Mamie's,0,30.0,5
